sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 慈文國中, 50, 33, 25.008916, 121.301842, 16, 1, 2108, 桃園區, 20200817231720, 中正路835號前方人行道, Taoyuan Dist., Tzu Wen Junior High School, No.835, Zhongzheng Rd. 
 同新公園, 42, 15, 25.012389, 121.305633, 27, 1, 2109, 桃園區, 20200817231727, 同安街經國路251巷口(東南側人行道), Taoyuan Dist., Tongxin Park, Tong’an St./Ln. 251, Jingguo Rd. 
 桃園永康公園, 34, 8, 25.001890, 121.302925, 26, 1, 2110, 桃園區, 20200817231744, 力行路中正五街口東南側人行道, Taoyuan Dist., Yongkang Park, Lixing Rd./Zhongzheng 5th St. 
 桃園市立游泳池, 40, 31, 24.989458, 121.292088, 8, 1, 2111, 桃園區, 20200817231737, 吉昌街86號(對面人行道), Taoyuan Dist., Taoyuan City Swimming Pool, No.86, Jichang St.(opposite) 
 寶山公園, 34, 12, 25.013132, 121.313903, 22, 1, 2112, 桃園區, 20200817231736, 民有三街517號對面公園旁人行道, Taoyuan Dist., Baoshan Park, No.517, Minyou 3rd St.(opposite) 
 國強一街上海路口, 40, 23, 24.992059, 121.282126, 16, 1, 2113, 桃園區, 20200817231738, 國強一街上海路口西北側高架橋下廣場, Taoyuan Dist., Guochiang 1st St. & Shanghai Rd. Intersection, Guoqiang 1st St./Shanghai Rd. 
 青溪公園, 38, 28, 25.000959, 121.317024, 10, 1, 2114, 桃園區, 20200817231720, 自強路217號前方人行道, Taoyuan Dist., Qingxi Park, No.217, Ziqiang Rd. 
 甲蟲公園, 36, 24, 24.977542, 121.252751, 12, 1, 2115, 中壢區, 20200817231740, 元生二街元生三街口西北側公園旁人行道, Zhongli Dist., Jiachong Park, Yuansheng 2nd St./Yuansheng 3rd St. 
 中壢中央公園, 38, 19, 24.956663, 121.226195, 16, 1, 2116, 中壢區, 20200817231718, 建國北路9號對面公園人行道, Zhongli Dist., Zhongli Central Park, No.9, Jianguo N. Rd.(opposite) 
 新榮公園, 40, 7, 24.945991, 121.214981, 30, 1, 2117, 平鎮區, 20200817231735, 振興西路新德街口西北側公園旁人行道, Pingzhen Dist., Xinrong Park, Zhenxing W. Rd./Xinde St. 
 重慶公園, 30, 17, 24.955984, 121.304068, 10, 1, 2118, 八德區, 20200817231717, 重慶街183號對面公園旁人行道, Bade Dist., Chongqing Park, No.183, Chongqing St.(opposite) 
 文青路, 36, 23, 25.040189, 121.388379, 13, 1, 2119, 龜山區, 20200817231733, 文青路199號前方人行道, Guishan Dist., Wenqing Rd., No.199, Wenqing Rd. 
 龜山國小, 50, 35, 24.994765, 121.340557, 14, 1, 2120, 龜山區, 20200817231734, 大同路23號對面人行道, Guishan Dist., Guishan Elementary School, No.23, Datong Rd.(opposite) 
 文興公園, 38, 25, 25.055851, 121.371531, 12, 1, 2121, 龜山區, 20200817231733, 復興南路及復興南路26巷口東南側公園旁人行道, Guishan Dist., Wenxing Park, Fuxing S. Rd./Ln. 26, Fuxing S. Rd. 
 迴龍國中小, 40, 9, 25.019115, 121.404963, 31, 1, 2122, 龜山區, 20200817231715, 萬壽路一段168號前方人行道, Guishan Dist., Hueilong Elementary & Junior High School, No.168, Sec. 1, Wanshou Rd. 
 大同公園, 48, 12, 24.989332, 121.342481, 36, 1, 2123, 龜山區, 20200817231742, 德明路77巷65號對面公園旁人行道, Guishan Dist., Datong Park, No.65, Ln. 77, Deming Rd.(opposite) 
 樂善公園, 36, 15, 25.055461, 121.380587, 21, 1, 2124, 龜山區, 20200817231716, 文安街50號(對面公園北側巷道), Guishan Dist., Leshan Park, No.50, Wen’an St.(opposite) 
 蘆竹區公所, 40, 8, 25.047325, 121.294341, 24, 1, 2125, 蘆竹區, 20200817231733, 南上路3號對面路側, Luzhu Dist., Civil Affairs District of Luzhu District, No.3, Nanshang Rd.(opposite) 
 峻德宮, 36, 26, 25.036999, 121.292555, 10, 1, 2126, 蘆竹區, 20200817231727, 奉化路292號旁路側, Luzhu Dist., Junde Temple, No.292, Fenghua Rd. 
